territory,year,month,detections,request_billions,enacted_billions,underbudget,SEQUESTER_FY2013,SHUTDOWN_OCT2013,SHUTDOWN_DEC2018,SHUTDOWN_JAN2019,pending_defendants,median_time_months,fbi_positions,fbi_fte,usao_positions,usao_fte,election_month,presidential_transition_window,congress_session_cycle_m,pre_election_window_m1,pre_election_window_m2,pre_election_window_m3,pre_election_window_m4,pre_election_window_m5,pre_election_window_m6,post_election_window_m1,post_election_window_m2,post_election_window_m3,post_election_window_m4,post_election_window_m5,post_election_window_m6
AK,2006.0,1.0,1.0,5.73,7.57,0.3211169284467713,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2006.0,3.0,1.0,5.73,7.57,0.3211169284467713,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2006.0,4.0,2.0,5.73,7.57,0.3211169284467713,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2006.0,10.0,1.0,5.73,7.57,0.3211169284467713,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2007.0,10.0,2.0,7.17,7.73,0.0781032078103208,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2008.0,11.0,1.0,7.38,7.88,0.067750677506775,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2009.0,1.0,1.0,7.56,7.93,0.0489417989417989,0.0,0.0,0.0,0.0,,,407.0,2010.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AK,2009.0,11.0,1.0,7.56,7.93,0.0489417989417989,0.0,0.0,0.0,0.0,,,280.0,2009.0,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2010.0,6.0,1.0,7.9,7.9,0.0,0.0,0.0,0.0,0.0,,,276.0,306.0,,,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2011.0,4.0,1.0,7.91,8.04,0.0164348925410871,0.0,0.0,0.0,0.0,,,,131.0,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
